Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
15231,525.578979,229.749878,85.093788,0.928882,15617,0.572896,Cammeo
14656,494.311005,206.020065,91.730972,0.895405,15072,0.615436,Cammeo
10971,407.355988,206.020065,84.579071,0.86298,11108,0.739635,Osmancik
9441,384.339996,164.226379,73.375168,0.894637,9566,0.724503,Osmancik
10925,437.259003,181.590942,77.657631,0.903944,11231,0.724503,Osmancik
14634,437.259003,214.106781,87.768288,0.912118,14954,0.693259,Cammeo
13176,458.342987,193.337387,87.448395,0.912118,13368,0.640669,Cammeo
11710,424.490997,173.790039,86.498947,0.867337,11880,0.732791,Cammeo
14688,507.166992,211.743378,86.498947,0.906691,15262,0.646024,Cammeo
13479,477.015991,200.053055,86.650291,0.901328,13786,0.657897,Cammeo
10560,400.178986,168.269058,80.589066,0.877853,10691,0.637373,Osmancik
12837,400.178986,180.265244,92.162514,0.859426,13157,0.767763,Osmancik
11726,450.744995,189.093079,80.31675,0.905312,12061,0.556262,Osmancik
11726,509.281006,207.296677,98.336136,0.880323,16150,0.589708,Cammeo
14930,509.281006,212.245819,90.017479,0.905606,16150,0.624373,Cammeo
10499,408.729004,165.559372,82.358246,0.86749,10785,0.661313,Osmancik
14626,496.585999,204.534134,92.974869,0.890712,15070,0.661313,Cammeo
15209,496.565002,214.050079,91.026321,0.905073,15395,0.56937,Cammeo
12599,450.20401,184.969147,87.251724,0.881754,12818,0.736439,Osmancik
11961,448.565002,189.180145,81.786453,0.90172,12275,0.753401,Osmancik
10786,408.024994,165.129929,84.932243,0.857589,11022,0.787587,Osmancik
15238,496.871002,208.531784,93.8284,0.893055,15487,0.732314,Cammeo
13509,480.466003,207.137161,83.940163,0.914211,13732,0.595635,Cammeo
10980,428.084015,181.873352,83.940163,0.904501,11174,0.582803,Osmancik
11542,424.515991,171.504501,87.680611,0.859436,11811,0.699515,Osmancik
11715,429.165985,171.09964,89.107292,0.853684,12066,0.649534,Osmancik
13858,482.579987,205.020157,86.964676,0.90558,14154,0.555921,Cammeo
14911,494.088989,207.560242,92.410606,0.89542,15132,0.604762,Cammeo
15136,518.643982,221.709106,88.207634,0.917449,15469,0.529712,Cammeo
12919,475.26001,201.815659,83.206268,0.911053,13256,0.765162,Cammeo
13005,467.799988,199.964996,83.361305,0.908962,13251,0.552934,Osmancik
10680,413.803009,171.882019,79.865562,0.885493,10848,0.590773,Osmancik
10138,414.009003,171.619736,77.159386,0.893232,10425,0.566432,Osmancik
15224,510.881989,213.196167,92.32341,0.901373,15686,0.63953,Cammeo
12950,468.570007,196.616791,84.800316,0.90221,13584,0.76181,Cammeo
13536,478.006012,203.173782,85.910576,0.906203,13810,0.552806,Cammeo
10364,417.102997,171.731155,78.380775,0.889767,10737,0.571208,Osmancik
15551,508.407013,217.015503,92.151817,0.905366,15786,0.807425,Cammeo
10862,421.010986,175.220032,80.575645,0.887994,11066,0.612013,Osmancik
11178,419.278015,166.614304,87.070885,0.852584,11507,0.604478,Osmancik
12244,442.190002,179.901459,87.807594,0.872795,12568,0.632699,Osmancik
14166,483.704987,204.627319,88.992363,0.900479,14412,0.766061,Cammeo
13916,478.877991,201.639679,88.560974,0.898387,14221,0.603993,Cammeo
12308,451.609009,193.267532,81.659889,0.906352,12488,0.724043,Cammeo
10951,424.769012,179.131317,78.755013,0.898169,11138,0.567262,Osmancik
10472,412.989014,168.203552,80.146599,0.879182,10772,0.619425,Osmancik
11577,418.76001,168.288635,89.304253,0.847584,11746,0.806086,Osmancik
15127,418.76001,212.903915,91.151634,0.903715,15370,0.713,Cammeo
14115,486.272003,207.551041,87.78109,0.903715,14422,0.600817,Cammeo
